name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London,UK",2011-12-04,49.4,40.7,46.5,45.4,34.4,41.5,41.3,82,0,0,0,,,0,,13.6,251.8,1001.3,0.3,22.8,12.3,1.3,0,,2011-12-04T07:47:25,2011-12-04T15:53:28,0.35,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-05,45.2,37.5,40.7,38.5,30,33.4,33.9,77,0.01,100,4.17,rain,,0,,18,253.3,1006.2,0.1,25.7,30.9,2.7,2,,2011-12-05T07:48:42,2011-12-05T15:53:00,0.39,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-06,44.9,36.8,41,39.2,28.9,34.4,36.2,83.1,0,0,0,,,0,,13.5,239.5,1007.5,0.2,23.6,28,2.4,2,,2011-12-06T07:49:58,2011-12-06T15:52:36,0.43,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-07,48.8,41.1,46,42.2,34.5,39.3,35.5,67.8,0.08,100,4.17,rain,,0.1,39.2,22.5,260.1,1009,0.2,22.4,46.2,4,2,,2011-12-07T07:51:11,2011-12-07T15:52:14,0.46,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-08,55.7,39.8,48.8,55.7,33.3,45.8,43.1,80.6,0,0,0,,,0,44.6,27.1,229.7,1011,0.4,15.5,11.5,1.1,1,,2011-12-08T07:52:22,2011-12-08T15:51:57,0.48,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-09,46.1,36.2,42.1,39.5,29.3,35.4,33.3,71.2,0.04,100,4.17,rain,,0,,16.3,253.6,1010.8,0,20.8,49.4,4.3,2,,2011-12-09T07:53:31,2011-12-09T15:51:42,0.49,Rain,Clear conditions throughout the day with early morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-10,44,31.7,37.3,39,25.7,32,31.9,81.3,0,0,0,,,0,,10.4,244.5,1015.7,0.1,18.2,51.4,4.5,3,,2011-12-10T07:54:37,2011-12-10T15:51:31,0.5,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-11,48.3,36.6,43.9,42.8,33.1,39.1,40.5,87.6,0.01,100,4.17,rain,,0,,16.3,198.1,1007.7,0.4,15.1,12.2,1,1,,2011-12-11T07:55:40,2011-12-11T15:51:23,0.51,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-12,50.1,38,44.3,50.1,31.5,38.7,39.8,84.5,0.16,100,4.17,rain,,0,42.7,24.5,225.6,1002.6,0.2,16.8,40.1,3.5,2,,2011-12-12T07:56:41,2011-12-12T15:51:19,0.52,Rain,Clear conditions throughout the day with early morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-13,54.2,41.3,46.9,54.2,33.6,41.6,38.8,74.1,0.44,100,8.33,rain,,,41.7,25.3,232.6,990.4,0.3,21.8,20.1,1.7,1,,2011-12-13T07:57:39,2011-12-13T15:51:18,0.54,Rain,Clear conditions throughout the day with rain clearing later.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-14,43.4,40.2,41.9,38.6,34.4,36,35.3,77.6,0.01,100,4.17,rain,,,35.8,20.2,218.5,994.6,0.2,23.9,20.8,1.7,1,,2011-12-14T07:58:35,2011-12-14T15:51:20,0.58,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
